img_path,img,img_id,img_label
/static/roistore/SPC2/17320/1732045/SPC2-1496487597-925883-019-1328-1596-112-120,SPC2-1496487597-925883-019-1328-1596-112-120.jpg,582120173,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487596-925879-040-1416-1192-120-80,SPC2-1496487596-925879-040-1416-1192-120-80.jpg,582120140,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487596-925879-046-2716-744-80-176,SPC2-1496487596-925879-046-2716-744-80-176.jpg,582120155,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487595-925872-003-1600-2300-136-96,SPC2-1496487595-925872-003-1600-2300-136-96.jpg,582120166,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487595-925874-032-1964-1024-112-88,SPC2-1496487595-925874-032-1964-1024-112-88.jpg,582120584,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487595-925875-019-3160-1672-96-80,SPC2-1496487595-925875-019-3160-1672-96-80.jpg,582121488,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487595-925873-015-220-1596-112-120,SPC2-1496487595-925873-015-220-1596-112-120.jpg,582120126,[u'Copepod']
/static/roistore/SPC2/17320/1732045/SPC2-1496487593-925856-019-3124-1624-80-104,SPC2-1496487593-925856-019-3124-1624-80-104.jpg,582121092,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487591-925844-017-1956-1464-96-152,SPC2-1496487591-925844-017-1956-1464-96-152.jpg,582120629,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487590-925837-031-648-1156-120-176,SPC2-1496487590-925837-031-648-1156-120-176.jpg,582119849,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487590-925836-018-2096-1384-136-224,SPC2-1496487590-925836-018-2096-1384-136-224.jpg,582119983,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487590-925836-030-2844-1080-120-88,SPC2-1496487590-925836-030-2844-1080-120-88.jpg,582120840,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487590-925835-058-2224-344-112-72,SPC2-1496487590-925835-058-2224-344-112-72.jpg,582121073,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487589-925826-003-648-2348-144-112,SPC2-1496487589-925826-003-648-2348-144-112.jpg,582120187,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487589-925830-023-1640-1200-144-56,SPC2-1496487589-925830-023-1640-1200-144-56.jpg,582121005,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487588-925822-028-2600-1072-112-120,SPC2-1496487588-925822-028-2600-1072-112-120.jpg,582119581,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487588-925823-002-2312-2332-104-104,SPC2-1496487588-925823-002-2312-2332-104-104.jpg,582120061,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487587-925818-009-2472-1924-96-48,SPC2-1496487587-925818-009-2472-1924-96-48.jpg,582119711,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487587-925813-019-2848-1592-48-136,SPC2-1496487587-925813-019-2848-1592-48-136.jpg,582119742,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487587-925814-017-1352-1672-48-128,SPC2-1496487587-925814-017-1352-1672-48-128.jpg,582120460,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487587-925817-036-1032-308-272-352,SPC2-1496487587-925817-036-1032-308-272-352.jpg,582118805,[u'Copepod']
/static/roistore/SPC2/17320/1732045/SPC2-1496487587-925818-031-348-692-328-264,SPC2-1496487587-925818-031-348-692-328-264.jpg,582120577,[u'Copepod']
/static/roistore/SPC2/17320/1732045/SPC2-1496487587-925816-031-1880-1008-176-424,SPC2-1496487587-925816-031-1880-1008-176-424.jpg,582120318,[u'Copepod']
/static/roistore/SPC2/17320/1732045/SPC2-1496487587-925815-025-3028-1480-347-264,SPC2-1496487587-925815-025-3028-1480-347-264.jpg,582120178,[u'Copepod']
/static/roistore/SPC2/17320/1732045/SPC2-1496487586-925811-014-2368-1644-96-152,SPC2-1496487586-925811-014-2368-1644-96-152.jpg,582120847,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487585-925804-003-924-2384-88-64,SPC2-1496487585-925804-003-924-2384-88-64.jpg,582119799,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487585-925805-009-2056-2020-120-48,SPC2-1496487585-925805-009-2056-2020-120-48.jpg,582120615,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487583-925792-051-2852-688-104-96,SPC2-1496487583-925792-051-2852-688-104-96.jpg,582120088,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487583-925787-032-2668-696-96-96,SPC2-1496487583-925787-032-2668-696-96-96.jpg,582120433,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487583-925788-047-2052-396-224-112,SPC2-1496487583-925788-047-2052-396-224-112.jpg,582120909,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487582-925783-039-1988-400-64-80,SPC2-1496487582-925783-039-1988-400-64-80.jpg,582119220,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487581-925774-038-712-292-120-80,SPC2-1496487581-925774-038-712-292-120-80.jpg,582121064,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487581-925777-007-1616-2288-128-128,SPC2-1496487581-925777-007-1616-2288-128-128.jpg,582121163,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487579-925759-024-836-1260-56-104,SPC2-1496487579-925759-024-836-1260-56-104.jpg,582120114,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487579-925762-010-2252-2192-120-144,SPC2-1496487579-925762-010-2252-2192-120-144.jpg,582120743,[u'Copepod']
/static/roistore/SPC2/17320/1732045/SPC2-1496487577-925750-029-1092-960-96-64,SPC2-1496487577-925750-029-1092-960-96-64.jpg,582119784,[]
/static/roistore/SPC2/17320/1732045/SPC2-1496487577-925747-021-2436-1440-88-152,SPC2-1496487577-925747-021-2436-1440-88-152.jpg,582119990,[]
